user_id,item_id,rating,timestamp
1,20,3,1731523529
1,33,4,1790301106
1,60,3,1741663795
1,43,3,1730150759
1,27,4,1726726767
1,21,2,1719777514
1,26,4,1703278320
1,45,4,1706202700
1,19,2,1732862209
1,36,4,1763771720
1,9,2,1782043803
1,13,2,1709774839
1,56,4,1761124923
1,57,2,1755625330
1,25,1,1784525678
1,44,2,1777265240
1,12,2,1726096655
1,40,3,1793463085
1,37,3,1751536717
1,58,3,1766354180
1,54,3,1753640499
1,51,2,1732747037
1,1,4,1719806690
1,41,1,1788054615
1,52,2,1792291118
1,14,4,1700744212
1,28,3,1714305904
1,55,3,1757062156
1,30,2,1729372360
1,15,3,1723607110
1,31,3,1793403697
1,22,4,1769519112
1,7,2,1762350830
1,17,2,1706740197
1,16,4,1774813739
1,24,3,1733446826
1,6,4,1716288475
1,29,1,1761265269
1,3,1,1717896471
1,10,3,1762363359
1,48,4,1789600766
1,11,3,1771287314
1,23,2,1775017682
2,53,2,1720509175
2,47,1,1728716269
2,58,2,1708620650
2,33,3,1755682626
2,28,3,1754707061
2,54,3,1744410148
2,36,2,1772828034
2,29,4,1762535301
2,11,2,1755804273
2,48,2,1708357162
2,31,4,1727760841
2,60,4,1756390708
2,17,3,1752274692
2,16,2,1778393811
2,41,2,1793351515
2,18,3,1702621534
2,34,3,1777267850
2,32,2,1751053877
2,46,4,1764019136
2,59,2,1700791358
2,45,2,1747212267
2,49,3,1740079111
2,5,3,1752343121
2,19,4,1756240084
2,42,5,1772238741
2,40,3,1773300637
2,22,2,1780967191
2,21,3,1729600202
2,6,3,1765529051
2,38,2,1729450273
2,50,3,1736632757
2,8,1,1758496914
2,13,3,1765181765
2,23,4,1703895645
3,52,2,1710993268
3,26,4,1763123515
3,47,1,1702601580
3,11,4,1772399599
3,54,3,1706990811
3,30,3,1746970882
3,9,3,1730094589
3,40,2,1787260863
3,35,2,1709209801
3,2,3,1787477029
3,59,3,1705403355
3,38,2,1704164775
3,37,4,1733189803
3,43,2,1726757737
3,51,4,1702735359
3,6,2,1783394260
3,42,3,1720452412
3,28,2,1732016960
3,56,1,1716941092
3,55,3,1763560289
3,12,3,1789853245
3,4,2,1715353091
3,17,4,1775694715
